,City,Country,Date,Latitude,Longitutde,Temperature (F),Humidity (%),Cloudiness (%),Windiness(mph)
0,Banda Aceh,ID,1586720959,5.56,95.32,79.84,78,49,5.53
1,Krasnosel'kup,RU,1586720960,65.7,82.47,35.24,98,100,7.02
2,Busselton,AU,1586720892,-33.65,115.33,61.65,66,63,8.75
3,Bambous Virieux,MU,1586720960,-20.34,57.76,78.89,74,75,14.99
4,Ushuaia,AR,1586720851,-54.8,-68.3,42.8,87,75,27.51
5,Mossamedes,AO,1586720961,-15.2,12.15,76.15,73,0,0.81
6,Coquimbo,CL,1586720961,-29.95,-71.34,60.8,82,90,11.41
7,Key West,US,1586720961,24.56,-81.78,85.93,74,1,18.34
8,Yulara,AU,1586720961,-25.24,130.99,66.2,45,0,5.82
9,Ancud,CL,1586720961,-41.87,-73.82,57.2,58,90,4.7
10,Mahébourg,MU,1586720962,-20.41,57.7,78.87,74,75,14.99
11,Rikitea,PF,1586720962,-23.12,-134.97,78.15,85,62,15.39
12,Talnakh,RU,1586720962,69.49,88.4,12.2,85,86,6.71
13,Jamestown,US,1586720920,42.1,-79.24,61.57,61,90,13.87
14,Bluff,NZ,1586720963,-46.6,168.33,46.0,83,94,21.99
15,Lorengau,PG,1586720963,-2.02,147.27,82.63,75,37,4.18
16,Albany,US,1586720920,42.6,-73.97,59.13,26,90,18.34
17,Port Alfred,ZA,1586720963,-33.59,26.89,63.0,81,2,4.0
18,Faanui,PF,1586720963,-16.48,-151.75,83.08,70,61,10.58
19,Bonthe,SL,1586720964,7.53,-12.51,83.19,78,100,8.72
20,Cape Town,ZA,1586720939,-33.93,18.42,57.16,71,0,2.24
21,Torbay,CA,1586720964,47.67,-52.73,44.37,45,75,16.11
22,Kahului,US,1586720964,20.89,-156.47,68.74,94,75,6.93
23,Puerto Ayora,EC,1586720964,-0.74,-90.35,80.91,74,75,9.17
24,Upernavik,GL,1586720965,72.79,-56.15,29.23,96,100,2.33
25,Hermanus,ZA,1586720965,-34.42,19.23,55.8,87,10,1.99
26,Punta Arenas,CL,1586720965,-53.15,-70.92,50.0,76,75,20.8
27,Ilulissat,GL,1586720967,69.22,-51.1,39.2,64,100,24.16
28,Saint-Philippe,RE,1586720967,-21.36,55.77,68.49,83,93,5.82
29,Mataura,NZ,1586720967,-46.19,168.86,46.0,83,89,21.99
30,Hilo,US,1586720967,19.73,-155.09,74.82,65,75,8.05
31,Tiksi,RU,1586720967,71.69,128.87,17.26,94,100,9.31
32,Vaini,TO,1586720968,-21.2,-175.2,73.4,83,20,4.7
33,Nikolskoye,RU,1586720968,59.7,30.79,40.3,86,90,11.18
34,Khatanga,RU,1586720968,71.97,102.5,0.73,93,55,10.13
35,Ribeira Grande,PT,1586720969,38.52,-28.7,64.4,72,20,5.82
36,Durusu,TR,1586720969,41.31,28.68,45.86,87,0,6.93
37,Carnarvon,AU,1586720969,-24.87,113.63,77.0,100,1,17.22
38,Chokurdakh,RU,1586720969,70.63,147.92,-7.04,91,31,7.74
39,Inhambane,MZ,1586720969,-23.86,35.38,78.8,41,0,16.11
40,Bathsheba,BB,1586720969,13.22,-59.52,86.0,62,75,14.99
41,Champerico,GT,1586720969,14.3,-91.92,95.0,41,75,9.17
42,Leningradskiy,RU,1586720970,69.38,178.42,17.8,87,94,3.06
43,Boda,CF,1586720970,4.32,17.47,73.51,72,100,1.72
44,Quatre Cocos,MU,1586720970,-20.21,57.76,78.91,74,75,14.99
45,Ust'-Ilimsk,RU,1586720970,58.0,102.66,28.69,95,0,2.21
46,Bredasdorp,ZA,1586720970,-34.53,20.04,56.62,62,4,6.93
47,Nelson Bay,AU,1586720970,-32.72,152.15,48.6,93,59,2.24
48,Bilma,NE,1586720970,18.69,12.92,84.4,13,0,9.24
49,Vestmannaeyjar,IS,1586720970,63.44,-20.27,42.12,82,100,20.76
50,Hithadhoo,MV,1586720971,-0.6,73.08,84.9,68,3,7.38
51,Thinadhoo,MV,1586720971,0.53,72.93,84.65,63,82,4.14
52,Norman Wells,CA,1586720971,65.28,-126.83,30.2,54,75,9.17
53,Severo-Kuril'sk,RU,1586720972,50.68,156.12,30.34,94,91,7.83
54,Mawlaik,MM,1586720972,23.63,94.42,70.93,44,0,2.64
55,Cidreira,BR,1586720972,-30.18,-50.21,67.8,74,58,12.39
56,Serik,TR,1586720972,36.92,31.1,60.8,77,0,5.82
57,Saint-Augustin,CA,1586720973,51.23,-58.65,34.16,87,24,11.36
58,Russell,US,1586720718,32.35,-85.2,72.32,83,75,9.17
59,Hobart,AU,1586720771,-42.88,147.33,44.87,93,40,3.36
60,Yellowknife,CA,1586720718,62.46,-114.35,14.0,43,5,2.24
61,Lüderitz,NA,1586720973,-26.65,15.16,64.4,88,0,6.93
62,Snezhnogorsk,RU,1586720973,69.19,33.25,28.4,79,75,11.18
63,Ngawi,ID,1586720973,-7.4,111.45,73.72,86,50,2.64
64,Bogorodskoye,RU,1586720974,56.55,37.88,32.45,80,75,7.72
65,Port Blair,IN,1586720974,11.67,92.75,82.08,72,84,3.8
66,Tiznit Province,MA,1586720974,29.58,-9.5,56.52,68,80,8.55
67,Kapaa,US,1586720617,22.08,-159.32,74.25,60,1,8.05
68,Hong Kong,HK,1586720888,22.29,114.16,62.19,39,62,14.99
69,Bilibino,RU,1586720975,68.05,166.44,8.78,88,27,0.94
70,Anuradhapura,LK,1586720975,8.36,80.42,75.33,91,0,4.03
71,Isangel,VU,1586720976,-19.55,169.27,73.4,94,40,4.32
72,Adrar,MR,1586720976,20.5,-10.07,85.12,15,91,12.19
73,Mar del Plata,AR,1586720945,-38.0,-57.56,69.78,56,40,6.93
74,Cabo San Lucas,MX,1586720715,22.89,-109.91,71.92,56,5,3.36
75,Contamana,PE,1586720976,-7.33,-75.02,89.4,52,56,4.63
76,Mombetsu,JP,1586720977,44.35,143.35,32.09,91,0,3.65
77,Padang,ID,1586720977,-0.95,100.35,78.48,71,100,2.46
78,Matara,LK,1586720977,5.95,80.54,77.31,89,0,4.59
79,Morant Bay,JM,1586720978,17.88,-76.41,87.44,66,20,18.34
80,Port Elizabeth,ZA,1586720908,-33.92,25.57,62.6,67,0,20.8
81,Altay,CN,1586720978,47.87,88.12,46.38,35,100,5.73
82,Korla,CN,1586720978,41.76,86.15,59.45,78,55,5.01
83,Kirakira,SB,1586720978,-10.45,161.92,82.38,78,99,6.13
84,Sisimiut,GL,1586720978,66.94,-53.67,35.13,87,59,21.18
85,Waipawa,NZ,1586720981,-41.41,175.52,59.4,77,14,24.16
86,Caravelas,BR,1586720799,-17.71,-39.25,78.03,85,14,15.97
87,Vardø,NO,1586720981,70.37,31.11,27.52,63,75,20.8
88,Nanchang,CN,1586720981,28.68,115.88,51.04,69,0,5.73
89,George Town,MY,1586720981,5.41,100.34,80.94,94,20,3.47
90,Touros,BR,1586720547,-5.2,-35.46,87.8,62,80,11.41
91,Bethel,US,1586720982,41.37,-73.41,57.42,35,90,10.29
92,Karratha,AU,1586720982,-20.74,116.85,81.12,65,4,6.17
93,Bulungu,CD,1586720982,-4.55,18.6,71.02,85,100,2.19
94,Yambio,SS,1586720982,4.57,28.4,70.41,77,100,2.3
95,Cherskiy,RU,1586720982,68.75,161.3,15.03,96,99,11.63
96,Dikson,RU,1586720982,73.51,80.55,13.84,96,100,17.45
97,Iqaluit,CA,1586720982,63.75,-68.51,23.0,85,90,21.92
98,Castro,BR,1586720983,-24.79,-50.01,61.75,53,1,1.92
99,Kasongo-Lunda,CD,1586720983,-6.47,16.82,71.76,79,100,0.69
100,Tual,ID,1586720983,-5.67,132.75,84.06,73,91,6.46
101,Bariloche,AR,1586720983,-41.15,-71.31,57.2,33,47,10.29
102,Ostrovnoy,RU,1586720983,68.05,39.51,27.75,91,100,22.06
103,Marabu,MY,1586720983,4.41,114.01,77.0,100,75,6.04
104,Haines Junction,CA,1586720984,60.75,-137.51,35.65,60,100,6.67
105,Kruisfontein,ZA,1586720984,-34.0,24.73,57.29,74,0,10.65
106,Lagoa,PT,1586720984,39.05,-27.98,61.81,80,44,9.55
107,Guerrero Negro,MX,1586720949,27.98,-114.06,65.19,58,58,14.88
108,Qaanaaq,GL,1586720984,77.48,-69.36,16.81,78,86,1.81
109,Pacific Grove,US,1586720984,36.62,-121.92,55.81,71,90,8.05
110,New Norfolk,AU,1586720984,-42.78,147.06,45.21,93,75,4.7
111,Hervey Bay,AU,1586720984,-25.3,152.85,66.07,88,5,6.93
112,Laguna,US,1586720985,38.42,-121.42,63.57,77,90,4.7
113,Eydhafushi,MV,1586720985,5.1,73.07,85.46,70,62,9.64
114,Constitución,CL,1586720987,-35.33,-72.42,59.11,53,14,14.27
115,Sabang,ID,1586720987,5.89,95.32,82.49,76,47,6.78
116,Bengkulu,ID,1586720987,-3.8,102.27,78.01,84,100,5.21
117,Saint Paul Harbor,US,1586720987,57.79,-152.41,42.8,81,90,8.05
118,Betwagan,PH,1586720988,17.08,120.97,65.34,65,73,2.51
119,Kamenka,RU,1586720988,51.32,42.77,34.0,64,0,5.01
120,Luanda,AO,1586720988,-8.84,13.23,80.6,83,40,3.36
121,Necochea,AR,1586720988,-38.55,-58.74,61.32,96,100,3.0
122,Vakhrushevo,RU,1586720988,55.23,61.72,37.4,86,43,2.24
123,Ouadda,CF,1586720988,8.08,22.4,75.72,26,99,2.53
124,Viedma,AR,1586720988,-40.81,-63.0,65.73,30,11,10.25
125,Mubi,NG,1586720989,10.27,13.26,82.24,13,12,7.83
126,Apollonia,GR,1586720989,36.97,24.72,60.84,48,0,17.22
127,Esperance,AU,1586720989,-33.87,121.9,62.6,100,90,2.24
128,Komatipoort,ZA,1586720989,-25.43,31.95,71.01,85,0,3.27
129,Klaksvík,FO,1586720920,62.23,-6.59,33.8,55,97,13.87
130,São Filipe,CV,1586720989,14.9,-24.5,75.34,74,17,15.08
131,Butaritari,KI,1586720990,3.07,172.79,83.21,79,82,16.2
132,Tasiilaq,GL,1586720990,65.61,-37.64,30.2,80,100,28.86
133,Port Lincoln,AU,1586720990,-34.73,135.87,58.03,72,11,9.1
134,Kadoshkino,RU,1586720990,54.03,44.42,30.04,85,0,12.68
135,City of San Pedro,PH,1586720990,14.35,121.02,79.5,78,20,9.17
136,Waingapu,ID,1586720990,-9.66,120.26,77.76,80,19,1.43
137,Iskateley,RU,1586720990,67.68,53.15,12.13,94,0,5.57
138,Navolato,MX,1586720991,24.77,-107.69,82.4,26,5,5.82
139,Ayr,GB,1586720991,55.46,-4.63,46.08,75,20,17.22
140,Hofn,IS,1586720991,64.25,-15.21,33.12,90,68,15.52
141,Ashquelon,IL,1586720991,31.67,34.57,56.28,82,0,2.24
142,Lebu,CL,1586720991,-37.62,-73.65,55.99,56,0,16.35
143,Bandarbeyla,SO,1586720991,9.49,50.81,80.58,76,26,11.18
144,Kagoro,NG,1586720991,9.6,8.38,77.34,21,47,0.76
145,Kavaratti,IN,1586720991,10.57,72.64,84.43,70,0,5.03
146,Lata,PT,1586720547,40.16,-8.33,58.17,82,75,11.41
147,Landerneau,FR,1586720992,48.45,-4.25,53.38,82,75,3.36
148,Kalmunai,LK,1586720992,7.42,81.82,81.34,80,19,5.26
149,Honiara,SB,1586720992,-9.43,159.95,73.4,100,20,3.36
150,Wanning,CN,1586720992,18.8,110.4,65.59,71,76,11.52
151,Sitka,US,1586720992,57.05,-135.33,46.13,50,75,3.76
152,Yumen,CN,1586720993,40.28,97.2,48.13,19,13,6.98
153,Huzhou,CN,1586720993,30.87,120.09,50.86,64,0,7.87
154,Ustrzyki Dolne,PL,1586720993,49.43,22.59,49.59,52,0,10.63
155,Huejuquilla el Alto,MX,1586720993,22.6,-103.87,80.85,7,61,20.15
156,Atuona,PF,1586720993,-9.8,-139.03,82.06,71,4,6.04
157,Kiryat Gat,IL,1586720993,31.61,34.76,55.63,82,0,2.24
158,Chicama,PE,1586720993,-7.84,-79.15,69.8,83,40,11.41
159,Stulovo,RU,1586720994,58.72,50.14,26.87,94,100,11.16
160,Oga,IT,1586720994,46.46,10.35,45.46,45,98,5.82
161,Oktyabr'skiy,RU,1586720994,54.48,53.47,35.51,79,34,4.16
162,Portland,US,1586720892,45.52,-122.68,61.12,28,1,11.41
163,Udachny,RU,1586720994,66.42,112.4,33.8,64,77,8.95
164,Taoudenni,ML,1586720994,22.68,-3.98,91.17,11,20,11.72
165,Longyearbyen,SJ,1586720994,78.22,15.64,-2.2,64,20,5.82
166,Werda,BW,1586720995,-25.27,23.28,76.3,27,67,3.33
167,Qasigiannguit,GL,1586720995,68.82,-51.19,39.2,64,100,24.16
168,Filingué,NE,1586720995,14.35,3.32,88.11,12,9,6.04
169,Pisco,PE,1586720995,-13.7,-76.22,74.84,30,0,10.29
170,Beloha,MG,1586720995,-25.17,45.05,74.89,70,0,3.65
171,North Bend,US,1586720995,43.41,-124.22,59.59,58,1,12.75
172,Arraial do Cabo,BR,1586720995,-22.97,-42.03,75.2,69,75,5.82
173,Bayeux,BR,1586720996,-7.12,-34.93,86.0,66,20,11.41
174,Visby,SE,1586720996,57.64,18.3,48.76,75,100,17.22
175,Pasil,PH,1586720996,17.38,121.13,62.6,72,58,2.8
176,Yalvaç,TR,1586720996,38.3,31.18,47.43,36,0,3.98
177,Chimbote,PE,1586720996,-9.09,-78.58,78.03,66,31,11.59
178,Clyde River,CA,1586720996,70.47,-68.59,10.4,85,90,27.51
179,Thompson,CA,1586720997,55.74,-97.86,14.0,47,75,8.05
180,Rivadavia,AR,1586720916,-33.19,-68.46,68.0,42,75,6.93
181,Souillac,MU,1586720997,-20.52,57.52,78.89,74,75,14.99
182,Ponta do Sol,PT,1586720997,32.67,-17.1,58.6,72,75,13.87
183,Solnechnyy,RU,1586720997,50.72,136.63,34.16,74,0,1.03
184,Avarua,CK,1586720783,-21.21,-159.78,78.8,100,100,2.24
185,San Vicente,AR,1586720997,-26.62,-54.13,68.99,39,0,0.72
186,Porbandar,IN,1586720998,21.64,69.61,79.32,65,1,11.27
187,Lábrea,BR,1586720998,-7.26,-64.8,79.65,86,99,3.58
188,Saint George,US,1586720983,37.1,-113.58,64.83,25,1,13.87
