,City,Country,Date,Latitude,Longitutde,Temperature (F),Humidity (%),Cloudiness (%),Windiness(mph)
0,Ushuaia,AR,1587268199,-54.8,-68.3,48.2,81,40,5.82
1,General Roca,AR,1587268478,-39.03,-67.58,73.4,27,2,9.17
2,Faanui,PF,1587268358,-16.48,-151.75,83.12,72,71,11.77
3,Rikitea,PF,1587268478,-23.12,-134.97,77.45,69,71,7.36
4,Jamestown,US,1587268244,42.1,-79.24,39.16,64,1,6.93
5,Sémbé,CG,1587268478,1.65,14.58,71.33,83,79,2.48
6,Husavik,IS,1587268388,66.04,-17.34,35.6,93,90,5.82
7,Puerto Ayora,EC,1587268305,-0.74,-90.35,80.01,88,10,4.0
8,Hermanus,ZA,1587268317,-34.42,19.23,60.01,68,88,4.12
9,Port Alfred,ZA,1587268479,-33.59,26.89,62.01,78,0,3.0
10,Karratha,AU,1587267886,-20.74,116.85,91.15,38,28,5.68
11,Snezhnogorsk,RU,1587268479,69.19,33.25,33.8,86,75,6.71
12,Mar del Plata,AR,1587268479,-38.0,-57.56,63.0,81,20,21.99
13,Pechenga,RU,1587268479,69.53,31.17,32.0,95,89,10.29
14,Busselton,AU,1587268034,-33.65,115.33,63.54,70,43,21.72
15,San Patricio,MX,1587267910,19.22,-104.7,75.36,73,62,11.74
16,Severo-Kuril'sk,RU,1587268480,50.68,156.12,33.4,92,81,17.72
17,Dikson,RU,1587268407,73.51,80.55,35.33,92,100,21.63
18,Cape Town,ZA,1587268365,-33.93,18.42,57.2,93,94,3.36
19,Catalina Foothills,US,1587268480,32.3,-110.92,66.76,28,1,8.05
20,Ribeira Grande,PT,1587268322,38.52,-28.7,60.64,71,79,20.6
21,Ketchikan,US,1587268480,55.34,-131.65,54.3,66,1,16.11
22,Saskylakh,RU,1587268481,71.92,114.08,20.07,89,0,7.25
23,Katsuura,JP,1587268186,35.13,140.3,71.01,44,1,1.01
24,Hasaki,JP,1587268481,35.73,140.83,69.64,42,20,17.22
25,Lüderitz,NA,1587268320,-26.65,15.16,59.0,87,10,3.36
26,Palmer,US,1587268363,42.16,-72.33,30.61,100,1,5.3
27,Lebu,CL,1587268481,-37.62,-73.65,54.03,91,93,1.54
28,Tasiilaq,GL,1587268318,65.61,-37.64,32.0,97,100,18.34
29,Mala Danylivka,UA,1587268481,50.06,36.17,38.79,69,88,3.24
30,Panama City,PA,1587268195,8.99,-79.52,79.0,72,77,1.01
31,Lagoa,PT,1587268482,39.05,-27.98,61.32,72,100,22.39
32,Colares,PT,1587268482,38.8,-9.45,56.53,64,0,1.99
33,Bredasdorp,ZA,1587268482,-34.53,20.04,60.8,55,84,9.17
34,San Ramon,US,1587268483,37.78,-121.98,54.1,66,1,10.29
35,Punta Arenas,CL,1587268483,-53.15,-70.92,42.39,75,75,5.82
36,Avarua,CK,1587268483,-21.21,-159.78,80.6,74,79,9.17
37,Cranbrook,CA,1587268186,49.5,-115.77,44.6,59,75,5.82
38,Pisco,PE,1587268483,-13.7,-76.22,68.86,82,0,10.29
39,Bacolod City,PH,1587268483,10.67,122.95,91.42,47,5,7.25
40,Castro,BR,1587268313,-24.79,-50.01,54.43,71,31,5.95
41,Batetskiy,RU,1587268483,58.65,30.3,33.17,94,98,6.46
42,Kloulklubed,PW,1587268483,7.04,134.26,86.0,74,75,14.99
43,Nanortalik,GL,1587268483,60.14,-45.24,28.63,91,71,3.24
44,Tiksi,RU,1587268484,71.69,128.87,15.01,85,95,4.59
45,Clyde River,CA,1587268484,70.47,-68.59,3.2,77,90,9.17
46,Esperance,AU,1587268484,-33.87,121.9,68.0,68,40,25.28
47,Shar,KZ,1587268484,49.59,81.05,57.6,42,14,3.33
48,Kokopo,PG,1587268484,-4.35,152.26,84.79,73,45,5.75
49,Moindou,NC,1587268484,-21.69,165.68,86.0,51,75,13.87
50,Nikolskoye,RU,1587268349,59.7,30.79,36.1,92,90,8.95
51,Zarubino,RU,1587268484,42.63,131.09,45.0,66,100,12.24
52,Arraial do Cabo,BR,1587268485,-22.97,-42.03,73.99,66,99,6.02
53,Hofn,IS,1587268485,64.25,-15.21,45.59,87,100,13.91
54,Longyearbyen,SJ,1587268485,78.22,15.64,21.2,92,20,2.24
55,Albany,US,1587268385,42.6,-73.97,38.52,46,1,1.01
56,Mataura,NZ,1587268485,-46.19,168.86,50.0,78,64,8.01
57,Hobart,AU,1587268485,-42.88,147.33,54.63,76,75,10.29
58,Hithadhoo,MV,1587268328,-0.6,73.08,84.13,73,25,11.07
59,Kiunga,PG,1587268486,-6.12,141.29,85.93,69,84,0.83
60,Menongue,AO,1587268486,-14.66,17.69,61.92,60,100,2.82
61,Sobolevo,RU,1587268486,54.43,31.9,33.19,84,100,7.31
